febA    chA_1   chA_2   febB    chB_1   chB_2   x               y
-1	0	1	-11	0	1	  0.0000	0.0000
-1	2	3	-11	2	3	 51.3875	0.0000
-1	4	5	-11	4	5	103.1875	0.0000
-1	6	7	-11	6	7	154.5750	0.0000
-1	8	9	-11	8	9	206.3750	0.0000
-1	10	11	-11	10	11	257.7625	0.0000
-1	12	13	-11	12	13	309.5625	0.0000
-1	14	15	-11	14	15	360.9500	0.0000
-1	16	17	-11	16	17	412.7500	0.0000
-1	18	19	-11	18	19	464.1375	0.0000
-1	20	21	-11	20	21	515.9375	0.0000
-1	22	23	-11	22	23	567.3250	0.0000
-1	24	25	-11	24	25	619.1250	0.0000
-1	26	27	-11	26	27	670.5125	0.0000
-1	28	29	-11	28	29	722.3125	0.0000
-1	30	31	-11	30	31	773.7000	0.0000
-1	32	33	-11	32	33	 42.0000	-29.3250
-1	34	35	-11	34	35	 93.3875	-29.3250
-1	36	37	-11	36	37	145.1875	-29.3250
-1	38	39	-11	38	39	196.5750	-29.3250
-1	40	41	-11	40	41	248.3750	-29.3250
-1	42	43	-11	42	43	299.7625	-29.3250
-1	44	45	-11	44	45	351.5625	-29.3250
-1	46	47	-11	46	47	402.9500	-29.3250
-1	48	49	-11	48	49	454.7500	-29.3250
-1	50	51	-11	50	51	506.1375	-29.3250
-1	52	53	-11	52	53	557.9375	-29.3250
-1	54	55	-11	54	55	609.3250	-29.3250
-1	56	57	-11	56	57	661.1250	-29.3250
-1	58	59	-11	58	59	712.5125	-29.3250
-1	60	61	-11	60	61	764.3125	-29.3250
-1	62	63	-11	62	63	815.7000	-29.3250
0	0	1	-12	0	1	 84.0000	-58.6500
0	2	3	-12	2	3	135.3875	-58.6500
0	4	5	-12	4	5	187.1875	-58.6500
0	6	7	-12	6	7	238.5750	-58.6500
0	8	9	-12	8	9	290.3750	-58.6500
0	10	11	-12	10	11	341.7625	-58.6500
0	12	13	-12	12	13	393.5625	-58.6500
0	14	15	-12	14	15	444.9500	-58.6500
0	16	17	-12	16	17	496.7500	-58.6500
0	18	19	-12	18	19	548.1375	-58.6500
0	20	21	-12	20	21	599.9375	-58.6500
0	22	23	-12	22	23	651.3250	-58.6500
0	24	25	-12	24	25	703.1250	-58.6500
0	26	27	-12	26	27	754.5125	-58.6500
0	28	29	-12	28	29	806.3125	-58.6500
0	30	31	-12	30	31	857.7000	-58.6500
0	32	33	-12	32	33	126.0000	-87.9750
0	34	35	-12	34	35	177.3875	-87.9750
0	36	37	-12	36	37	229.1875	-87.9750
0	38	39	-12	38	39	280.5750	-87.9750
0	40	41	-12	40	41	332.3750	-87.9750
0	42	43	-12	42	43	383.7625	-87.9750
0	44	45	-12	44	45	435.5625	-87.9750
0	46	47	-12	46	47	486.9500	-87.9750
0	48	49	-12	48	49	538.7500	-87.9750
0	50	51	-12	50	51	590.1375	-87.9750
0	52	53	-12	52	53	641.9375	-87.9750
0	54	55	-12	54	55	693.3250	-87.9750
0	56	57	-12	56	57	745.1250	-87.9750
0	58	59	-12	58	59	796.5125	-87.9750
0	60	61	-12	60	61	848.3125	-87.9750
0	62	63	-12	62	63	899.7000	-87.9750
1	0	1	-13	0	1	  0.0000	-225.2500
1	2	3	-13	2	3	 51.3875	-225.2500
1	4	5	-13	4	5	103.1875	-225.2500
1	6	7	-13	6	7	154.5750	-225.2500
1	8	9	-13	8	9	206.3750	-225.2500
1	10	11	-13	10	11	257.7625	-225.2500
1	12	13	-13	12	13	309.5625	-225.2500
1	14	15	-13	14	15	360.9500	-225.2500
1	16	17	-13	16	17	412.7500	-225.2500
1	18	19	-13	18	19	464.1375	-225.2500
1	20	21	-13	20	21	515.9375	-225.2500
1	22	23	-13	22	23	567.3250	-225.2500
1	24	25	-13	24	25	619.1250	-225.2500
1	26	27	-13	26	27	670.5125	-225.2500
1	28	29	-13	28	29	722.3125	-225.2500
1	30	31	-13	30	31	773.7000	-225.2500
1	32	33	-13	32	33	 42.0000	-254.5750
1	34	35	-13	34	35	 93.3875	-254.5750
1	36	37	-13	36	37	145.1875	-254.5750
1	38	39	-13	38	39	196.5750	-254.5750
1	40	41	-13	40	41	248.3750	-254.5750
1	42	43	-13	42	43	299.7625	-254.5750
1	44	45	-13	44	45	351.5625	-254.5750
1	46	47	-13	46	47	402.9500	-254.5750
1	48	49	-13	48	49	454.7500	-254.5750
1	50	51	-13	50	51	506.1375	-254.5750
1	52	53	-13	52	53	557.9375	-254.5750
1	54	55	-13	54	55	609.3250	-254.5750
1	56	57	-13	56	57	661.1250	-254.5750
1	58	59	-13	58	59	712.5125	-254.5750
1	60	61	-13	60	61	764.3125	-254.5750
1	62	63	-13	62	63	815.7000	-254.5750
2	0	1	-14	0	1	 84.0000	-283.9000
2	2	3	-14	2	3	135.3875	-283.9000
2	4	5	-14	4	5	187.1875	-283.9000
2	6	7	-14	6	7	238.5750	-283.9000
2	8	9	-14	8	9	290.3750	-283.9000
2	10	11	-14	10	11	341.7625	-283.9000
2	12	13	-14	12	13	393.5625	-283.9000
2	14	15	-14	14	15	444.9500	-283.9000
2	16	17	-14	16	17	496.7500	-283.9000
2	18	19	-14	18	19	548.1375	-283.9000
2	20	21	-14	20	21	599.9375	-283.9000
2	22	23	-14	22	23	651.3250	-283.9000
2	24	25	-14	24	25	703.1250	-283.9000
2	26	27	-14	26	27	754.5125	-283.9000
2	28	29	-14	28	29	806.3125	-283.9000
2	30	31	-14	30	31	857.7000	-283.9000
2	32	33	-14	32	33	126.0000	-313.2250
2	34	35	-14	34	35	177.3875	-313.2250
