febA	chA_1	chA_2	febB	chB_1	chB_2	x	y	sector	ignoreForFit
1	30	31	-11	30	31	0	0	1	0
1	28	29	-11	28	29	51.3875	0	1	0
1	26	27	-11	26	27	103.1875	0	1	0
1	24	25	-11	24	25	154.575	0	1	0
1	22	23	-11	22	23	206.375	0	1	0
1	20	21	-11	20	21	257.7625	0	1	0
1	18	19	-11	18	19	309.5625	0	1	0
1	16	17	-11	16	17	360.95	0	1	0
1	14	15	-11	14	15	412.75	0	1	0
1	12	13	-11	12	13	464.1375	0	1	0
1	10	11	-11	10	11	515.9375	0	1	0
1	8	9	-11	8	9	567.325	0	1	0
1	6	7	-11	6	7	619.125	0	1	0
1	4	5	-11	4	5	670.5125	0	1	0
1	2	3	-11	2	3	722.3125	0	1	0
1	0	1	-11	0	1	773.7	0	1	0
1	62	63	-11	62	63	42	29.325	1	0
1	60	61	-11	60	61	93.3875	29.325	1	0
1	58	59	-11	58	59	145.1875	29.325	1	0
1	56	57	-11	56	57	196.575	29.325	1	0
1	54	55	-11	54	55	248.375	29.325	1	0
1	52	53	-11	52	53	299.7625	29.325	1	0
1	50	51	-11	50	51	351.5625	29.325	1	0
1	48	49	-11	48	49	402.95	29.325	1	0
1	46	47	-11	46	47	454.75	29.325	1	0
1	44	45	-11	44	45	506.1375	29.325	1	0
1	42	43	-11	42	43	557.9375	29.325	1	0
1	40	41	-11	40	41	609.325	29.325	1	0
1	38	39	-11	38	39	661.125	29.325	1	0
1	36	37	-11	36	37	712.5125	29.325	1	0
1	34	35	-11	34	35	764.3125	29.325	1	0
1	32	33	-11	32	33	815.7	29.325	1	0
0	30	31	-12	30	31	84	58.65	1	0
0	28	29	-12	28	29	135.3875	58.65	1	0
0	26	27	-12	26	27	187.1875	58.65	1	0
0	24	25	-12	24	25	238.575	58.65	1	0
0	22	23	-12	22	23	290.375	58.65	1	0
0	20	21	-12	20	21	341.7625	58.65	1	0
0	18	19	-12	18	19	393.5625	58.65	1	0
