febA	chA_1	chA_2	febB	chB_1	chB_2	x	y	sector
3	50	51	7	50	51	590.1375	-313.225	2
3	52	53	7	52	53	641.9375	-313.225	2
3	54	55	7	54	55	693.325	-313.225	2
3	56	57	7	56	57	745.125	-313.225	2
3	58	59	7	58	59	796.5125	-313.225	2
3	60	61	7	60	61	848.3125	-313.225	2
3	62	63	7	62	63	899.7	-313.225	2
-1	0	1	-5	0	1	0	-450.5	3
-1	2	3	-5	2	3	51.3875	-450.5	3
-1	4	5	-5	4	5	103.1875	-450.5	3
-1	6	7	-5	6	7	154.575	-450.5	3
-1	8	9	-5	8	9	206.375	-450.5	3
-1	10	11	-5	10	11	257.7625	-450.5	3
-1	12	13	-5	12	13	309.5625	-450.5	3
-1	14	15	-5	14	15	360.95	-450.5	3
-1	16	17	-5	16	17	412.75	-450.5	3
-1	18	19	-5	18	19	464.1375	-450.5	3
-1	20	21	-5	20	21	515.9375	-450.5	3
-1	22	23	-5	22	23	567.325	-450.5	3
-1	24	25	-5	24	25	619.125	-450.5	3
-1	26	27	-5	26	27	670.5125	-450.5	3
-1	28	29	-5	28	29	722.3125	-450.5	3
-1	30	31	-5	30	31	773.7	-450.5	3
-1	32	33	-5	32	33	42	-479.825	3
-1	34	35	-5	34	35	93.3875	-479.825	3
-1	36	37	-5	36	37	145.1875	-479.825	3
-1	38	39	-5	38	39	196.575	-479.825	3
-1	40	41	-5	40	41	248.375	-479.825	3
-1	42	43	-5	42	43	299.7625	-479.825	3
-1	44	45	-5	44	45	351.5625	-479.825	3
-1	46	47	-5	46	47	402.95	-479.825	3
-1	48	49	-5	48	49	454.75	-479.825	3
-1	50	51	-5	50	51	506.1375	-479.825	3
-1	52	53	-5	52	53	557.9375	-479.825	3
-1	54	55	-5	54	55	609.325	-479.825	3
-1	56	57	-5	56	57	661.125	-479.825	3
-1	58	59	-5	58	59	712.5125	-479.825	3
-1	60	61	-5	60	61	764.3125	-479.825	3
-1	62	63	-5	62	63	815.7	-479.825	3
-2	0	1	-6	0	1	84	-509.15	3
-2	2	3	-6	2	3	135.3875	-509.15	3
-2	4	5	-6	4	5	187.1875	-509.15	3
-2	6	7	-6	6	7	238.575	-509.15	3
-2	8	9	-6	8	9	290.375	-509.15	3
-2	10	11	-6	10	11	341.7625	-509.15	3
-2	12	13	-6	12	13	393.5625	-509.15	3
-2	14	15	-6	14	15	444.95	-509.15	3
-2	16	17	-6	16	17	496.75	-509.15	3
-2	18	19	-6	18	19	548.1375	-509.15	3
-2	20	21	-6	20	21	599.9375	-509.15	3
-2	22	23	-6	22	23	651.325	-509.15	3
-2	24	25	-6	24	25	703.125	-509.15	3
-2	26	27	-6	26	27	754.5125	-509.15	3
-2	28	29	-6	28	29	806.3125	-509.15	3
-2	30	31	-6	30	31	857.7	-509.15	3
-2	32	33	-6	32	33	126	-538.475	3
-2	34	35	-6	34	35	177.3875	-538.475	3
-2	36	37	-6	36	37	229.1875	-538.475	3
-2	38	39	-6	38	39	280.575	-538.475	3
-2	40	41	-6	40	41	332.375	-538.475	3
-2	42	43	-6	42	43	383.7625	-538.475	3
-2	44	45	-6	44	45	435.5625	-538.475	3
-2	46	47	-6	46	47	486.95	-538.475	3
-2	48	49	-6	48	49	538.75	-538.475	3
-2	50	51	-6	50	51	590.1375	-538.475	3
-2	52	53	-6	52	53	641.9375	-538.475	3
-2	54	55	-6	54	55	693.325	-538.475	3
-2	56	57	-6	56	57	745.125	-538.475	3
-2	58	59	-6	58	59	796.5125	-538.475	3
-2	60	61	-6	60	61	848.3125	-538.475	3
-2	62	63	-6	62	63	899.7	-538.475	3
-3	0	1	-7	0	1	0	-675.75	4
-3	2	3	-7	2	3	51.3875	-675.75	4
-3	4	5	-7	4	5	103.1875	-675.75	4
-3	6	7	-7	6	7	154.575	-675.75	4
-3	8	9	-7	8	9	206.375	-675.75	4
-3	10	11	-7	10	11	257.7625	-675.75	4
-3	12	13	-7	12	13	309.5625	-675.75	4
-3	14	15	-7	14	15	360.95	-675.75	4
-3	16	17	-7	16	17	412.75	-675.75	4
-3	18	19	-7	18	19	464.1375	-675.75	4
-3	20	21	-7	20	21	515.9375	-675.75	4
-3	22	23	-7	22	23	567.325	-675.75	4
-3	24	25	-7	24	25	619.125	-675.75	4
-3	26	27	-7	26	27	670.5125	-675.75	4
-3	28	29	-7	28	29	722.3125	-675.75	4
-3	30	31	-7	30	31	773.7	-675.75	4
-3	32	33	-7	32	33	42	-705.075	4
-3	34	35	-7	34	35	93.3875	-705.075	4
-3	36	37	-7	36	37	145.1875	-705.075	4
-3	38	39	-7	38	39	196.575	-705.075	4
-3	40	41	-7	40	41	248.375	-705.075	4
-3	42	43	-7	42	43	299.7625	-705.075	4
-3	44	45	-7	44	45	351.5625	-705.075	4
-3	46	47	-7	46	47	402.95	-705.075	4
-3	48	49	-7	48	49	454.75	-705.075	4
-3	50	51	-7	50	51	506.1375	-705.075	4
-3	52	53	-7	52	53	557.9375	-705.075	4
-3	54	55	-7	54	55	609.325	-705.075	4
-3	56	57	-7	56	57	661.125	-705.075	4
-3	58	59	-7	58	59	712.5125	-705.075	4
-3	60	61	-7	60	61	764.3125	-705.075	4
-3	62	63	-7	62	63	815.7	-705.075	4
-4	0	1	-8	0	1	84	-734.4	4
-4	2	3	-8	2	3	135.3875	-734.4	4
-4	4	5	-8	4	5	187.1875	-734.4	4
-4	6	7	-8	6	7	238.575	-734.4	4
-4	8	9	-8	8	9	290.375	-734.4	4
-4	10	11	-8	10	11	341.7625	-734.4	4
-4	12	13	-8	12	13	393.5625	-734.4	4
-4	14	15	-8	14	15	444.95	-734.4	4
-4	16	17	-8	16	17	496.75	-734.4	4
-4	18	19	-8	18	19	548.1375	-734.4	4
-4	20	21	-8	20	21	599.9375	-734.4	4
-4	22	23	-8	22	23	651.325	-734.4	4
-4	24	25	-8	24	25	703.125	-734.4	4
-4	26	27	-8	26	27	754.5125	-734.4	4
-4	28	29	-8	28	29	806.3125	-734.4	4
-4	30	31	-8	30	31	857.7	-734.4	4
-4	32	33	-8	32	33	126	-763.725	4
-4	34	35	-8	34	35	177.3875	-763.725	4
-4	36	37	-8	36	37	229.1875	-763.725	4
-4	38	39	-8	38	39	280.575	-763.725	4
-4	40	41	-8	40	41	332.375	-763.725	4
-4	42	43	-8	42	43	383.7625	-763.725	4
-4	44	45	-8	44	45	435.5625	-763.725	4
-4	46	47	-8	46	47	486.95	-763.725	4
-4	48	49	-8	48	49	538.75	-763.725	4
-4	50	51	-8	50	51	590.1375	-763.725	4
-4	52	53	-8	52	53	641.9375	-763.725	4
-4	54	55	-8	54	55	693.325	-763.725	4
-4	56	57	-8	56	57	745.125	-763.725	4
-4	58	59	-8	58	59	796.5125	-763.725	4
-4	60	61	-8	60	61	848.3125	-763.725	4
-4	62	63	-8	62	63	899.7	-763.725	4
