febA	chA_1	chA_2	febB	chB_1	chB_2	x	y	sector
0	0	1	4	0	1	0	0	1
0	2	3	4	2	3	51.3875	0	1
0	4	5	4	4	5	103.1875	0	1
0	6	7	4	6	7	154.575	0	1
0	8	9	4	8	9	206.375	0	1
0	10	11	4	10	11	257.7625	0	1
0	12	13	4	12	13	309.5625	0	1
0	14	15	4	14	15	360.95	0	1
0	16	17	4	16	17	412.75	0	1
0	18	19	4	18	19	464.1375	0	1
0	20	21	4	20	21	515.9375	0	1
0	22	23	4	22	23	567.325	0	1
0	24	25	4	24	25	619.125	0	1
0	26	27	4	26	27	670.5125	0	1
0	28	29	4	28	29	722.3125	0	1
0	30	31	4	30	31	773.7	0	1
0	32	33	4	32	33	42	-29.325	1
0	34	35	4	34	35	93.3875	-29.325	1
0	36	37	4	36	37	145.1875	-29.325	1
0	38	39	4	38	39	196.575	-29.325	1
0	40	41	4	40	41	248.375	-29.325	1
0	42	43	4	42	43	299.7625	-29.325	1
0	44	45	4	44	45	351.5625	-29.325	1
0	46	47	4	46	47	402.95	-29.325	1
0	48	49	4	48	49	454.75	-29.325	1
0	50	51	4	50	51	506.1375	-29.325	1
0	52	53	4	52	53	557.9375	-29.325	1
0	54	55	4	54	55	609.325	-29.325	1
0	56	57	4	56	57	661.125	-29.325	1
0	58	59	4	58	59	712.5125	-29.325	1
0	60	61	4	60	61	764.3125	-29.325	1
0	62	63	4	62	63	815.7	-29.325	1
1	0	1	5	0	1	84	-58.65	1
1	2	3	5	2	3	135.3875	-58.65	1
1	4	5	5	4	5	187.1875	-58.65	1
1	6	7	5	6	7	238.575	-58.65	1
1	8	9	5	8	9	290.375	-58.65	1
1	10	11	5	10	11	341.7625	-58.65	1
1	12	13	5	12	13	393.5625	-58.65	1
1	14	15	5	14	15	444.95	-58.65	1
1	16	17	5	16	17	496.75	-58.65	1
1	18	19	5	18	19	548.1375	-58.65	1
1	20	21	5	20	21	599.9375	-58.65	1
1	22	23	5	22	23	651.325	-58.65	1
1	24	25	5	24	25	703.125	-58.65	1
1	26	27	5	26	27	754.5125	-58.65	1
1	28	29	5	28	29	806.3125	-58.65	1
1	30	31	5	30	31	857.7	-58.65	1
1	32	33	5	32	33	126	-87.975	1
1	34	35	5	34	35	177.3875	-87.975	1
1	36	37	5	36	37	229.1875	-87.975	1
1	38	39	5	38	39	280.575	-87.975	1
1	40	41	5	40	41	332.375	-87.975	1
1	42	43	5	42	43	383.7625	-87.975	1
1	44	45	5	44	45	435.5625	-87.975	1
1	46	47	5	46	47	486.95	-87.975	1
1	48	49	5	48	49	538.75	-87.975	1
1	50	51	5	50	51	590.1375	-87.975	1
1	52	53	5	52	53	641.9375	-87.975	1
1	54	55	5	54	55	693.325	-87.975	1
1	56	57	5	56	57	745.125	-87.975	1
1	58	59	5	58	59	796.5125	-87.975	1
1	60	61	5	60	61	848.3125	-87.975	1
1	62	63	5	62	63	899.7	-87.975	1
2	0	1	6	0	1	0	-225.25	2
2	2	3	6	2	3	51.3875	-225.25	2
2	4	5	6	4	5	103.1875	-225.25	2
2	6	7	6	6	7	154.575	-225.25	2
2	8	9	6	8	9	206.375	-225.25	2
2	10	11	6	10	11	257.7625	-225.25	2
2	12	13	6	12	13	309.5625	-225.25	2
2	14	15	6	14	15	360.95	-225.25	2
2	16	17	6	16	17	412.75	-225.25	2
2	18	19	6	18	19	464.1375	-225.25	2
2	20	21	6	20	21	515.9375	-225.25	2
2	22	23	6	22	23	567.325	-225.25	2
2	24	25	6	24	25	619.125	-225.25	2
2	26	27	6	26	27	670.5125	-225.25	2
2	28	29	6	28	29	722.3125	-225.25	2
2	30	31	6	30	31	773.7	-225.25	2
2	32	33	6	32	33	42	-254.575	2
2	34	35	6	34	35	93.3875	-254.575	2
2	36	37	6	36	37	145.1875	-254.575	2
2	38	39	6	38	39	196.575	-254.575	2
2	40	41	6	40	41	248.375	-254.575	2
2	42	43	6	42	43	299.7625	-254.575	2
2	44	45	6	44	45	351.5625	-254.575	2
2	46	47	6	46	47	402.95	-254.575	2
2	48	49	6	48	49	454.75	-254.575	2
2	50	51	6	50	51	506.1375	-254.575	2
2	52	53	6	52	53	557.9375	-254.575	2
2	54	55	6	54	55	609.325	-254.575	2
2	56	57	6	56	57	661.125	-254.575	2
2	58	59	6	58	59	712.5125	-254.575	2
2	60	61	6	60	61	764.3125	-254.575	2
2	62	63	6	62	63	815.7	-254.575	2
3	0	1	7	0	1	84	-283.9	2
3	2	3	7	2	3	135.3875	-283.9	2
3	4	5	7	4	5	187.1875	-283.9	2
3	6	7	7	6	7	238.575	-283.9	2
3	8	9	7	8	9	290.375	-283.9	2
3	10	11	7	10	11	341.7625	-283.9	2
3	12	13	7	12	13	393.5625	-283.9	2
3	14	15	7	14	15	444.95	-283.9	2
3	16	17	7	16	17	496.75	-283.9	2
3	18	19	7	18	19	548.1375	-283.9	2
3	20	21	7	20	21	599.9375	-283.9	2
3	22	23	7	22	23	651.325	-283.9	2
3	24	25	7	24	25	703.125	-283.9	2
3	26	27	7	26	27	754.5125	-283.9	2
3	28	29	7	28	29	806.3125	-283.9	2
3	30	31	7	30	31	857.7	-283.9	2
3	32	33	7	32	33	126	-313.225	2
3	34	35	7	34	35	177.3875	-313.225	2
3	36	37	7	36	37	229.1875	-313.225	2
3	38	39	7	38	39	280.575	-313.225	2
3	40	41	7	40	41	332.375	-313.225	2
3	42	43	7	42	43	383.7625	-313.225	2
3	44	45	7	44	45	435.5625	-313.225	2
3	46	47	7	46	47	486.95	-313.225	2
3	48	49	7	48	49	538.75	-313.225	2
